CustomerID,Age,Annual_Income_k,Spending_Score,Purchase_Frequency,Gender
CUST0087,31,107.6,80.0,4.9,Male
CUST0121,55,82.6,9.1,2.2,Male
CUST0023,27,23.8,53.9,9.7,Female
CUST0012,25,24.4,20.4,7.6,Female
CUST0196,37,43.4,61.3,4.0,Female
CUST0003,25,29.0,44.2,4.4,Male
CUST0122,50,83.5,24.0,2.8,Female
CUST0095,31,98.8,89.4,10.0,Female
CUST0067,32,97.0,85.5,11.4,Male
CUST0064,43,97.1,95.6,11.1,Male
CUST0109,43,101.5,23.9,1.7,Male
CUST0097,30,106.3,70.7,6.1,Female
CUST0139,59,90.5,21.4,2.6,Female
CUST0066,44,77.0,81.3,8.1,Male
CUST0189,48,68.6,36.6,5.8,Female
CUST0156,35,42.4,48.2,9.2,Female
CUST0025,26,29.7,37.6,3.6,Female
CUST0100,38,114.8,94.3,9.9,Male
CUST0154,29,72.7,56.7,7.7,Male
CUST0047,19,26.9,19.5,7.3,Female
CUST0179,30,48.8,60.4,6.9,Female
CUST0140,52,92.4,20.3,1.2,Male
CUST0144,42,85.5,13.8,2.1,Female
CUST0075,30,84.3,69.8,8.4,Female
CUST0187,41,55.2,61.1,5.5,Female
CUST0170,39,63.1,63.2,5.5,Male
CUST0102,51,91.9,31.4,1.0,Female
CUST0198,35,43.0,44.3,4.5,Female
CUST0110,42,86.2,3.5,1.0,Female
CUST0178,30,47.4,34.7,5.7,Male
CUST0058,41,105.5,77.5,10.9,Female
CUST0107,50,103.7,23.0,1.0,Female
CUST0161,36,56.9,45.3,5.2,Female
CUST0085,43,95.2,92.1,7.7,Male
CUST0125,55,93.3,18.1,2.5,Male
CUST0086,37,100.3,81.3,11.7,Male
CUST0127,45,65.0,33.5,1.8,Female
CUST0184,38,75.0,35.2,4.6,Male
CUST0081,35,123.7,88.5,10.1,Male
CUST0117,53,106.0,28.0,3.5,Male
CUST0130,43,98.9,17.7,2.1,Male
CUST0129,47,84.8,26.3,2.8,Male
CUST0061,37,111.0,69.0,8.5,Male
CUST0123,51,81.5,16.0,2.0,Female
CUST0028,20,27.1,34.7,7.6,Male
CUST0041,26,15.0,40.9,6.6,Female
CUST0046,22,18.1,30.0,11.4,Female
CUST0192,46,57.9,38.8,6.7,Male
CUST0032,20,34.8,38.0,6.8,Male
CUST0155,40,71.0,43.7,2.7,Male
CUST0033,22,27.6,34.7,7.6,Female
CUST0014,20,33.3,37.6,3.4,Female
CUST0118,54,96.0,18.1,4.0,Male
CUST0079,39,101.6,90.5,8.1,Male
CUST0132,57,115.4,13.5,1.9,Male
CUST0029,24,22.5,35.6,8.3,Female
CUST0019,23,24.6,31.6,4.6,Male
CUST0142,52,110.5,20.6,2.3,Female
CUST0135,43,101.5,35.7,1.0,Male
CUST0098,37,110.2,75.2,7.3,Female
CUST0089,35,89.7,92.6,8.4,Male
CUST0059,38,112.2,74.6,8.5,Female
CUST0114,54,109.1,13.5,1.4,Male
CUST0150,41,92.3,25.2,1.0,Female
CUST0037,26,29.8,42.9,4.2,Female
CUST0193,41,54.1,36.4,4.3,Female
CUST0183,35,46.9,50.8,4.1,Male
CUST0052,43,111.6,99.7,8.1,Male
CUST0185,36,66.3,49.6,7.0,Female
CUST0141,55,98.2,26.4,3.8,Female
CUST0083,32,111.4,81.1,11.3,Male
CUST0116,56,91.9,12.7,3.6,Female
CUST0096,39,75.7,79.3,9.2,Male
CUST0038,24,35.7,25.9,4.4,Female
CUST0133,44,104.0,15.0,2.6,Female
CUST0103,52,104.0,23.7,2.3,Female
CUST0099,30,99.5,79.6,8.3,Male
CUST0050,25,25.4,39.7,7.0,Female
CUST0006,27,29.0,40.1,3.5,Female
CUST0018,25,26.1,30.8,6.7,Male
CUST0159,28,49.0,46.0,4.6,Male
CUST0169,32,61.6,54.8,2.6,Male
CUST0200,34,51.5,46.1,5.4,Male
CUST0195,40,51.7,44.3,6.8,Female
CUST0063,30,97.8,97.3,12.8,Male
CUST0065,34,81.2,84.0,5.4,Female
CUST0027,27,25.6,15.8,4.1,Male
CUST0149,54,109.1,23.8,1.3,Male
CUST0042,19,32.1,56.9,7.7,Male
CUST0053,42,105.9,79.2,8.2,Male
CUST0180,28,37.4,43.0,5.6,Male
CUST0082,39,117.1,84.1,10.7,Female
CUST0008,24,28.9,44.7,8.6,Male
CUST0092,44,114.9,89.7,8.9,Male
CUST0174,38,47.7,22.2,6.5,Female
CUST0151,32,59.4,56.4,2.5,Male
CUST0071,44,73.5,83.4,7.6,Female
CUST0167,30,68.6,42.0,4.6,Male
CUST0112,59,91.1,11.2,1.0,Male
CUST0009,25,27.4,28.0,2.8,Female
CUST0105,54,93.4,7.8,2.3,Female
CUST0080,44,79.7,85.6,9.4,Male
CUST0126,47,87.4,19.4,1.8,Male
CUST0165,42,62.3,34.2,7.1,Male
CUST0030,21,22.0,59.6,4.4,Male
CUST0004,22,18.2,38.3,5.4,Female
CUST0040,21,35.8,21.0,6.7,Female
CUST0051,41,83.5,74.4,12.1,Female
CUST0078,38,96.5,100.0,11.7,Male
CUST0164,38,48.9,42.7,4.6,Female
CUST0115,48,93.2,24.5,2.4,Male
CUST0055,34,98.7,83.1,9.0,Male
CUST0091,31,85.7,87.9,7.6,Female
CUST0163,36,40.1,39.5,5.8,Female
CUST0044,26,26.5,29.3,8.9,Male
CUST0160,32,55.4,45.7,3.9,Male
CUST0049,24,35.4,24.4,3.9,Male
CUST0171,45,51.0,47.9,5.0,Male
CUST0060,34,95.1,84.2,10.7,Female
CUST0016,22,19.2,32.7,6.6,Male
CUST0054,43,87.8,74.8,9.5,Male
CUST0021,22,33.2,33.4,6.6,Female
CUST0015,23,29.7,35.1,7.0,Female
CUST0188,30,53.9,51.8,6.3,Female
CUST0134,48,86.1,17.8,2.8,Female
CUST0077,31,113.7,80.1,10.2,Female
CUST0010,22,26.5,31.7,6.4,Male
CUST0106,55,89.9,29.6,1.0,Male
CUST0108,44,83.2,9.0,2.2,Female
CUST0158,47,42.1,45.3,5.0,Male
CUST0013,25,25.7,38.0,3.5,Male
CUST0017,19,29.6,20.8,6.5,Male
CUST0048,21,29.8,35.7,4.3,Male
CUST0148,44,95.3,13.7,1.0,Male
CUST0120,42,103.6,20.1,1.0,Female
